Country / Economy,Region,Income
Afghanistan,SOUTH ASIA ,LOW-INCOME  
Albania,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Algeria,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  
American Samoa,EAST ASIA AND PACIFIC  ,UPPER-MIDDLE-INCOME  
Andorra,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Angola,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Antigua and Barbuda,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Argentina,LATIN AMERICA AND THE CARIBBEAN,UPPER-MIDDLE-INCOME  
Armenia,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Aruba,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Australia,EAST ASIA AND PACIFIC  ,HIGH-INCOME  
Austria,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Azerbaijan,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Bahamas,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Bahrain,MIDDLE EAST AND NORTH AFRICA ,HIGH-INCOME  
Bangladesh,SOUTH ASIA ,LOWER-MIDDLE INCOME  
Barbados,LATIN AMERICA AND THE CARIBBEAN,HIGH-INCOME  
Belarus,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  
Belgium,EUROPE AND CENTRAL ASIA ,HIGH-INCOME  
Belize,LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  
Benin,SUB-SAHARAN AFRICA ,LOWER-MIDDLE INCOME  
Bermuda,NORTH AMERICA,HIGH-INCOME  
Bhutan,SOUTH ASIA ,LOWER-MIDDLE INCOME  
Bolivia (Plurinational State of),LATIN AMERICA AND THE CARIBBEAN,LOWER-MIDDLE INCOME  
Bosnia and Herzegovina,EUROPE AND CENTRAL ASIA ,#N/A
