,GOV,Level of government,TAX,Tax revenue,VAR,Indicator,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
17920,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUS,Australia,2016,2016,USD,US Dollar,9,Billions,,,365.268,,
17921,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUS,Australia,2017,2017,USD,US Dollar,9,Billions,,,397.953,,
17922,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUS,Australia,2018,2018,USD,US Dollar,9,Billions,,,401.232,,
17923,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUS,Australia,2019,2019,USD,US Dollar,9,Billions,,,380.012,,
17961,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUT,Austria,2016,2016,USD,US Dollar,9,Billions,,,165.116,,
17962,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUT,Austria,2017,2017,USD,US Dollar,9,Billions,,,174.337,,
17963,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUT,Austria,2018,2018,USD,US Dollar,9,Billions,,,192.155,,
17964,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUT,Austria,2019,2019,USD,US Dollar,9,Billions,,,189.417,,
17965,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,AUT,Austria,2020,2020,USD,US Dollar,9,Billions,,,181.145,,
18003,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,BEL,Belgium,2016,2016,USD,US Dollar,9,Billions,,,206.019,,
18004,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,BEL,Belgium,2017,2017,USD,US Dollar,9,Billions,,,219.99,,
18005,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,BEL,Belgium,2018,2018,USD,US Dollar,9,Billions,,,238.347,,
18006,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,BEL,Belgium,2019,2019,USD,US Dollar,9,Billions,,,227.681,,
18007,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,BEL,Belgium,2020,2020,USD,US Dollar,9,Billions,,,221.425,,
18059,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CAN,Canada,2016,2016,USD,US Dollar,9,Billions,,,508.26,,
18060,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CAN,Canada,2017,2017,USD,US Dollar,9,Billions,,,544.915,,
18061,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CAN,Canada,2018,2018,USD,US Dollar,9,Billions,,,576.768,,
18062,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CAN,Canada,2019,2019,USD,US Dollar,9,Billions,,,588.717,,
18063,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CAN,Canada,2020,2020,USD,US Dollar,9,Billions,,,565.341,,
18087,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CZE,Czech Republic,2016,2016,USD,US Dollar,9,Billions,,,66.792,,
18088,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CZE,Czech Republic,2017,2017,USD,US Dollar,9,Billions,,,75.262,,
18089,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CZE,Czech Republic,2018,2018,USD,US Dollar,9,Billions,,,87.088,,
18090,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CZE,Czech Republic,2019,2019,USD,US Dollar,9,Billions,,,87.825,,
18091,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CZE,Czech Republic,2020,2020,USD,US Dollar,9,Billions,,,84.348,,
18143,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DNK,Denmark,2016,2016,USD,US Dollar,9,Billions,,,142.47,,
18144,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DNK,Denmark,2017,2017,USD,US Dollar,9,Billions,,,151.061,,
18145,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,DNK,Denmark,2018,2018,USD,US Dollar,9,Billions,,,157.662,,
