OldIndex,Year,Country,data counts,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,Ref and Asyl,SUM REFUGEE,GDP_annual_change, Adjusted savings: net national savings (current US$) , Adjusted savings: particulate emission damage (current US$) ,"Adolescent fertility rate (births per 1,000 women ages 15-19)"," Air transport, passengers carried ",Current health expenditure (% of GDP), Current health expenditure per capita (current US$) ,"Death rate, crude (per 1,000 people)",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),Ease of doing business score (0 = lowest performance to 100 = best performance),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GNI growth (annual %),"Internally displaced persons, new displacement associated with disasters (number of cases)","International tourism, expenditures (current US$)"," International tourism, receipts (current US$) ", Military expenditure (current USD) ,Population growth (annual %),Prevalence of undernourishment (% of population),Refugee population by country or territory of asylum,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Net official flows from UN agencies: Total
311,2016,El Salvador,31,41,0,0,0,9800,41,9841,2.545926086,496536947.5,70449430.34,70.2702,2603129,7.70530415,293.2580261,6.984,189.0635095,97.59521187,62.65253,6.219290535,14.80747051,1.962238942,480,451000000,1161000000,247600000,0.489163801,9.9,41,9,4.420000076,6561136.104
313,2018,El Salvador,31,44,16,71501,0,4700,60,76261,2.432287587,549565628.8,69464902,68.6136,2545105,7.09307051,288.5174561,7.04,184.2216434,103.7076972,64.92118,7.666788252,14.3757283,2.420300892,4700,490000000,1370000000,294610000,0.50927343,8.6,44,9,4.010000229,6498476.475
619,2016,Mexico,31,6178,2636,0,13,0,8814,8827,2.630532425,57003374370,2093190532,61.486,53313307,5.55345869,485.624176,5.851,249.0266949,236.5974563,72.37307,12.91132337,16.88113443,2.526165091,12000,12823000000,20619000000,5336875740,1.203259506,5.8,6178,10,3.859999895,4939827.057
221,2016,Colombia,31,241,368,7410816,11,0,609,7411436,2.087382502,14952741931,458137532.4,67.9844,32262658,7.53117037,442.1382446,5.453,310.9535852,131.1846703,69.1652,12.27392136,14.7710977,2.422212163,31000,4891000000,5631000000,8675980823,1.367649952,6.8,241,11,8.68999958,12837932.71
223,2018,Colombia,31,294,2851,7816473,11,0,3145,7819629,2.564324283,16207044566,539219553.8,65.482,33704037,7.62541389,513.1586914,5.562,367.4957991,145.6628808,69.24335,13.44825224,14.04233958,1.748330538,67000,5531000000,6655000000,10134719591,1.524235944,7.9,294,11,9.109999657,27780999.89
233,2016,Costa Rica,31,4162,3626,0,127,0,7788,7915,4.204323252,5725281558,60474642.54,54.7214,1572605,7.31724358,878.888916,4.933,644.4355553,234.204063,67.67937,13.04433552,17.11138938,4.232168098,5800,1055000000,3776000000,0,1.057366054,3.6,4162,10,8.600000381,2792768.942
235,2018,Costa Rica,31,4531,32595,0,82,40,37126,37248,2.615904404,5965685980,64304715.13,52.5186,1950049,7.29572248,909.6730957,5.078,658.548246,251.0682769,68.83187,16.69754679,15.35841707,2.460276046,5800,1198000000,4073000000,0,0.99480206,3,4531,10,9.630000114,3812588.037
312,2017,El Salvador,31,40,5,71500,0,4200,45,75745,2.246670039,663978421.5,66641125.5,69.459,2670560,7.21280336,282.0367432,7.011,179.7860458,101.8521814,64.70983,7.06409047,14.53373024,1.847512334,390,466000000,1227000000,260900000,0.501983868,9.1,40,9,4.389999866,2012716.563
76,2016,Bangladesh,31,276203,0,0,0,0,276203,276203,7.113478213,64032107541,1962077983,84.0906,3815869,2.47291207,34.56891251,5.539,5.67698142,26.18849649,41.01625,4.173005954,0.48499608,6.408403102,614000,843000000,214300003.1,3239753510,1.095288404,13.3,276203,5,4.349999905,89593209.51
222,2017,Colombia,31,260,525,7677609,11,68734,785,7747139,1.359360868,15502996581,507804455.1,66.651,32504898,7.67864275,489.6445923,5.503,347.8482281,141.7963746,69.03524,12.94429123,14.28680638,0.566623641,25000,5136000000,5899000000,10018029818,1.513747435,7.1,260,11,8.869999886,9782998.556
234,2017,Costa Rica,31,4479,7428,0,71,0,11907,11978,4.157698963,5656158557,62399666.24,53.46,1822880,7.04522943,861.3200684,5.005,633.1500312,227.7088282,69.30028,15.031271,16.43734467,3.070560995,11000,1322000000,3758000000,0,1.02787999,3.1,4479,10,8.140000343,3395201.635
621,2018,Mexico,31,16530,23833,0,13,82993,40363,123369,2.194994725,76465395310,2350436467,59.4542,64569640,5.37870932,521.0083008,6.01,258.8085687,262.1997337,72.3064,14.54862775,17.15424188,2.062932029,20000,14074000000,23802000000,5839521271,1.126414791,6.2,16530,10,3.279999971,10278041.1
746,2016,Paraguay,31,199,31,0,0,0,230,230,4.268025833,6339794878,75931971.61,70.9886,467713,6.68209553,355.4480896,5.44,167.6177798,186.5573236,57.97708,3.639195311,5.170575662,3.944202917,3600,512000000,356000000,343232340.6,1.323766099,7.7,199,1,5.25,6148019.861
752,2016,Peru,31,1615,4368,0,0,0,5983,5983,3.953318715,21482504754,412773571.3,57.9692,15081755,4.97274113,313.5171814,5.386,193.3124352,119.5507896,67.5175,6.857530252,9.941346501,3.174512944,17000,2700000000,4288000000,2536072335,1.483157205,6.9,1615,7,3.74000001,7841978.252
794,2016,Romania,31,2880,72,0,249,0,2952,3201,4.702997747,7023664544,289135395.3,36.281,3686938,5.00346899,476.2450562,13.1,372.3422434,103.904513,72.85135,22.47643939,20.76147115,4.371965732,1500,2910000000,2474000000,2644159836,-0.573660845,2.5,2880,9,5.900000095,0
29,2017,Argentina,31,3332,4111,0,0,56969,7443,64412,2.818502978,12717237454,868906082.5,62.782,16749271,10.44225502,1529.670044,7.616,966.7296385,556.3048535,57.31005,17.84999661,22.17797517,2.388855582,27000,14180000000,5830000000,5459643672,1.037133897,3.1,3332,2,8.350000381,3697195.03
202,2017,Chile,31,1861,8462,0,0,86687,10323,97010,1.184544707,10280104616,336339666.1,41.052,17664974,9.06854153,1360.173584,6.076,685.5204752,674.6531836,71.951,16.57996326,17.32630719,0.058875999,8300,3093000000,4115000000,5370018135,1.425141421,3,1861,4,6.960000038,3489680.451
397,2016,Guatemala,31,295,0,0,0,23900,295,24195,2.677802555,1378646607,436244679.3,72.4582,111830,6.07008219,241.7825317,4.791,91.12022206,146.6803934,61.95631,3.05130363,14.80291111,2.906495231,1700,1032000000,1202699951,290912704,1.658073318,16.4,295,9,2.579999924,10374708.44
753,2017,Peru,31,1788,37728,0,0,31224,39516,70740,2.518835442,23151116540,442192680.9,56.882,16094150,4.91776848,334.8233337,5.438,208.1579795,125.8459062,67.76048,7.347014075,9.801573564,1.945727571,295000,2893000000,4439000000,2665785313,1.661927673,7.6,1788,7,3.690000057,5916108.878
754,2018,Peru,31,2506,230845,0,0,0,233351,233351,3.96915687,23965474244,463801578.1,55.9518,17758527.27,5.19757748,365.8638306,5.503,224.9985484,140.137808,68.27159,7.927901427,8.529790936,3.536777949,8600,3353000000,4505000000,2648683287,1.718268291,7.9,2506,7,3.49000001,10177908.29
894,2016,Sri Lanka,31,602,573,39730,0,0,1175,40905,4.486634531,15514203192,248493216.8,21.1102,5284585,3.86425042,151.4750214,6.459,65.31818176,84.84155673,59.82373,4.244216462,11.79668821,4.257280166,500000,2295000000,4591000000,1741456650,1.104983619,6.3,602,2,4.239999771,32030521.45
984,2016,Ukraine,31,3292,6536,1800000,35363,0,9828,1845191,2.440981945,6659592334,253273280,24.5594,5756509,7.54540205,157.5377045,14.7,75.97784136,79.66310396,65.41773,12.03425849,19.84280445,-0.5906801,130,6306000000,1723000000,2943807592,-0.331333796,2.5,3292,8,9.350000381,13958603.53
28,2016,Argentina,31,3267,3917,0,0,181,7184,7365,-2.080327844,10915437690,794519109,62.939,15076354,9.00189686,1153.534058,7.626,716.4738335,433.5008599,57.2443,16.66727115,23.36292528,-2.438621272,12000,12273000000,5466000000,4509647660,1.057181578,2.6,3267,2,8.111000061,1944329.514
128,2016,Brazil,31,9674,35451,0,5,22930,45125,68060,-3.275916906,97059811629,3155804209,60.0994,94142377,9.16901207,798.6270752,6.311,343.9113818,454.1222531,55.22357,13.02890048,20.37413949,-3.515404036,14000,17068000000,6613000000,24224746901,0.823752153,2.5,9674,2,11.60000038,16797411.19
130,2018,Brazil,31,11304,152670,0,0,0,163974,163974,1.783666761,83530824661,3144607182,57.8858,102109977,9.46475124,866.1553955,6.452,355.9190342,509.496483,58.59449,14.91053848,18.28999275,0.825174038,86000,22229000000,6324000000,28177406872,0.78384426,2.5,11304,2,12.32999992,40860695.13
301,2018,Ecuador,31,101550,17044,0,0,0,118594,118594,1.289291933,8407278115,315684283.4,78.7626,5365261,7.86490965,495.1695862,5.109,310.3833343,184.2495862,57.6141,11.43506241,13.81720636,0.847870429,4200,1523000000,2279000000,2549400000,1.765652695,11.2,101550,1,3.529999971,11167477.73
373,2018,Georgia,31,1987,677,282382,566,0,2664,285612,4.842919885,1302411562,79618421.13,45.1848,516034,7.11329746,312.7469177,12.849,123.4146111,187.6580806,83.4992,21.53768403,15.11008653,5.941070674,310,960000000,3518000000,333912381.8,-0.039036546,8.1,1987,9,12.67000008,8374597.922
