Year,Country,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,Ref and Asyl,SUM REFUGEE,GDP_annual_change,Adjusted savings: net national savings (current US$),Adjusted savings: particulate emission damage (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Air transport, passengers carried",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),Ease of doing business score (0 = lowest performance to 100 = best performance),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GNI growth (annual %),"International tourism, expenditures (current US$)","International tourism, receipts (current US$)",Military expenditure (current USD),Population growth (annual %),Prevalence of undernourishment (% of population),Refugee population by country or territory of asylum,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Net official flows from UN agencies: Total,Country / Economy,Region,Income,Intl tourism expenditures recipts and asylum seekers,Intl tourism expenditures receipts and military,net inflows UN and refugee pop,SUM REFUGEE and undernourishment
2016,Afghanistan,59770.0,123.0,1797551.0,0.0,114221.0,59893.0,1971665.0,2.260314201,6080644355.0,577403184.3,75.325,1917924.0,11.81856155,60.18867111,6.742,3.05628788,45.72794863,38.93563,0.024873504,0.322730963,3.1814661893366343,89000000.0,62000000.0,185878310.1,2.778034788,22.2,59770.0,9.0,11.15799999,122889874.5,Afghanistan,SOUTH ASIA ,LOW-INCOME  ,6.78714e+17,1.0256765151318e+24,7345127798865.0,43770963.0
2017,Afghanistan,75927.0,215.0,1837079.0,0.0,448032.0,76142.0,2361253.0,2.647003202,6080644355.0,575149709.4,68.957,1647425.0,12.62081718,65.70602417,6.575,3.34826009,49.59757036,37.13062,0.025297475,0.327222367,3.1814661893366343,130000000.0,16000000.0,191407113.2,2.54783304,23.0,75927.0,9.0,11.18000031,91732775.33,Afghanistan,SOUTH ASIA ,LOW-INCOME  ,4.472e+17,3.9812679545599996e+23,6964994432480.91,54308819.0
2018,Afghanistan,72228.0,281.0,2106893.0,0.0,489854.0,72509.0,2669256.0,1.189228128,6080644355.0,557892202.2,65.141,1125367.0,14.12674332,69.99860382,6.423,2.72140895,53.42270666,44.20343,0.043040552,0.343791756,3.1814661893366343,226000000.0,50000000.0,198074728.6,2.384309079,23.4,72228.0,10.0,11.15200043,84699683.02,Afghanistan,SOUTH ASIA ,LOW-INCOME  ,3.1753e+18,2.23824443318e+24,6117688705168.56,62460590.4
2019,Afghanistan,72227.0,247.0,2553390.0,0.0,447093.0,72474.0,3072957.0,3.911603419,6080644355.0,521580871.8,61.325,1066747.356,13.24220181,65.80603027,6.285,5.38899046,52.24943995,44.06497,0.051740516,0.353916384,3.1814661893366343,168000000.0,85000000.0,225835643.9,2.313073349,25.6,72227.0,10.0,11.21700001,220480209.0,Afghanistan,SOUTH ASIA ,LOW-INCOME  ,3.52716e+18,3.224932994892e+24,15924624055443.0,78667699.2
2016,Albania,141.0,2750.0,0.0,4921.0,0.0,2891.0,7812.0,3.314980684,-11030549.98,31389422.55,19.8596,26634.0,4.91601658,202.0133209,7.534,115.212352,84.38040584,64.16093,9.228640975,8.614077281,3.731449483,1338000000.0,1821000000.0,130853162.6,-0.159880412,4.3,141.0,6.0,15.42000008,3329092.086,Albania,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,6.7003695e+21,3.188234689685748e+26,469401984.12600005,33591.6
2017,Albania,124.0,32.0,0.0,4460.0,2719.0,156.0,7335.0,3.8022274,-103293561.9,34690935.75,19.642,204090.0,5.01263571,226.2806702,7.714,120.7582351,100.8633006,66.8377,10.52684499,8.554283747,2.44905325,1473000000.0,2050000000.0,144382688.7,-0.091972294,4.1,124.0,8.0,13.61999989,1552174.997,Albania,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,9.66288e+19,4.35985185932955e+26,192469699.628,30073.499999999996
2018,Albania,132.0,159.0,0.0,4160.0,76.0,291.0,4527.0,4.019359686,-30066626.74,40208267.81,19.5724,303137.0,5.23207188,274.914093,7.898,148.4365691,122.7705417,66.99561,12.55565885,8.62481528,3.653887284,1750000000.0,2306000000.0,175886688.6,-0.246732042,4.0,132.0,8.0,12.30000019,2756769.589,Albania,EUROPE AND CENTRAL ASIA ,UPPER-MIDDLE-INCOME  ,6.416445e+20,7.097907318453e+26,363893585.748,18108.0
2016,Algeria,94220.0,5700.0,0.0,0.0,0.0,99920.0,99920.0,3.2,46381785226.0,520653438.1,10.368,6093416.0,6.60749578,260.761261,4.717,176.5028096,84.20603642,46.10981,7.051711073,8.396034839,4.623156706,556000000.0,246000000.0,10217081700.0,2.051352373,2.8,94220.0,2.0,10.19999981,6514847.927,Algeria,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,7.796232e+20,1.3974515665992e+27,613828971681.9401,279776.0
2017,Algeria,94248.0,6353.0,0.0,0.0,0.0,100601.0,100601.0,1.3,50501024028.0,553135870.7,10.071,6230157.0,6.27938414,258.0639648,4.717,170.1995119,87.78980393,46.22686,7.756293558,9.90834104,0.803451451,632000000.0,171000000.0,10073364021.0,2.044909313,2.7,94248.0,2.0,10.33300018,5144836.486,Algeria,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,6.86581416e+20,1.088648596477512e+27,484890549132.52795,271622.7
2018,Algeria,94341.0,8910.0,0.0,0.0,0.0,103251.0,103251.0,1.1,55482823833.0,564408459.6,9.8338,6442442.0,6.16302586,256.0094605,4.716,168.575678,87.36482634,48.49803,7.262935415,9.948087553,0.103202456,542000000.0,196500000.0,9583724288.0,2.007398663,2.5,94341.0,2.0,10.42000008,9967358.299,Algeria,MIDDLE EAST AND NORTH AFRICA ,LOWER-MIDDLE INCOME  ,9.4894173e+20,1.020695387844864e+27,940330549285.9591,258127.5
