,Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,GDP_annual_change
0,2016,Afghanistan,AFG,59770,123,1797551,0,114221,2.26031420130452
1,2017,Afghanistan,AFG,75927,215,1837079,0,448032,2.64700320195786
2,2018,Afghanistan,AFG,72228,281,2106893,0,489854,1.18922812838034
3,2019,Afghanistan,AFG,72227,247,2553390,0,447093,3.911603419423
4,2020,Afghanistan,AFG,72278,167,2886317,0,82595,-2.35110067344623
5,2021,Afghanistan,AFG,72226,187,3204805,0,84742,
6,2016,Albania,ALB,141,2750,0,4921,0,3.31498068405152
7,2017,Albania,ALB,124,32,0,4460,2719,3.80222740018748
8,2018,Albania,ALB,132,159,0,4160,76,4.01935968580831
9,2019,Albania,ALB,120,5,0,3687,153,2.11341998165848
10,2020,Albania,ALB,105,0,0,1031,10,-3.95539792669307
11,2021,Albania,ALB,107,0,0,1528,1083,
12,2016,Algeria,DZA,94220,5700,0,0,0,3.19999999999973
13,2017,Algeria,DZA,94248,6353,0,0,0,1.29999999999994
14,2018,Algeria,DZA,94341,8910,0,0,0,1.09999999999995
15,2019,Algeria,DZA,98599,1725,0,0,0,0.999999999999915
16,2020,Algeria,DZA,97651,2124,0,0,0,-5.09999999999982
17,2021,Algeria,DZA,97810,2282,0,0,0,
18,2016,Angola,AGO,15547,30131,0,0,0,-2.58004964404932
19,2017,Angola,AGO,41119,30131,0,0,0,-0.147212941085755
20,2018,Angola,AGO,39856,30128,0,0,0,-2.00362972730201
21,2019,Angola,AGO,25793,30178,0,0,61,-0.624644317706895
22,2020,Angola,AGO,25791,30278,0,0,61,-5.39998738958575
23,2021,Angola,AGO,25931,30282,0,0,198,
24,2019,Anguilla,AIA,0,0,0,0,0,
25,2020,Anguilla,AIA,0,0,0,0,0,
26,2021,Anguilla,AIA,0,0,0,0,0,
27,2016,Antigua and Barbuda,ATG,5,0,0,0,0,5.49645920357835
28,2016,Argentina,ARG,3267,3917,0,0,181,-2.08032784377811
29,2017,Argentina,ARG,3332,4111,0,0,56969,2.81850297775918
30,2018,Argentina,ARG,3442,6102,0,0,410,-2.61739646282038
31,2019,Argentina,ARG,3857,7992,0,0,443,-2.0259342366392
32,2020,Argentina,ARG,3965,9176,0,0,448,-9.89526896368687
33,2021,Argentina,ARG,4007,10354,0,0,448,
34,2016,Armenia,ARM,17883,73,0,512,0,0.199999999825991
35,2017,Armenia,ARM,17968,62,0,773,0,7.50000000164144
36,2018,Armenia,ARM,17966,105,0,848,0,5.19999999965324
37,2019,Armenia,ARM,17980,158,0,961,0,7.59999999853918
38,2020,Armenia,ARM,107910,136,0,1000,0,-7.40000000000001
39,2021,Armenia,ARM,45415,127,0,892,0,
40,2016,Aruba,ABW,0,5,0,0,0,0.0
41,2017,Aruba,ABW,0,147,0,0,0,0.0
42,2018,Aruba,ABW,0,407,0,0,0,
43,2019,Aruba,ABW,0,406,0,0,0,
44,2020,Aruba,ABW,0,0,0,0,13,
45,2021,Aruba,ABW,0,0,0,0,29,
46,2016,Australia,AUS,42187,29633,0,0,0,2.74164306864724
47,2017,Australia,AUS,48480,48029,0,52,0,2.29592694694063
48,2018,Australia,AUS,56934,60645,0,132,0,2.87097248021668
49,2019,Australia,AUS,58529,77363,0,0,0,2.11314942462376
50,2020,Australia,AUS,57411,80801,0,5221,46,-0.00383655856659
51,2021,Australia,AUS,56229,79819,0,5770,2022,
52,2016,Austria,AUT,93242,76382,0,937,0,1.98943716230463
53,2017,Austria,AUT,115252,56279,0,1003,0,2.25857243250671
54,2018,Austria,AUT,128779,37347,0,1062,0,2.50159511872086
55,2019,Austria,AUT,135951,29656,0,1132,0,1.49121084953705
56,2020,Austria,AUT,141816,20710,0,3267,0,-6.73451407608768
57,2021,Austria,AUT,146025,18308,0,3229,0,
58,2016,Azerbaijan,AZE,1193,255,613129,3585,0,-3.09999999999992
59,2017,Azerbaijan,AZE,1120,124,612785,3585,0,0.199999999999804
60,2018,Azerbaijan,AZE,1130,209,620423,3585,0,1.50000000000009
61,2019,Azerbaijan,AZE,1109,181,652326,3585,0,2.4999999999999
62,2020,Azerbaijan,AZE,1572,48,653921,3585,0,-4.29999999999997
63,2021,Azerbaijan,AZE,1603,42,653921,3585,0,
64,2016,Bahamas,BHS,9,17,0,0,0,
65,2017,Bahamas,BHS,8,15,0,0,0,
66,2018,Bahamas,BHS,14,24,0,0,0,
67,2019,Bahamas,BHS,10,13,0,0,0,
68,2020,Bahamas,BHS,15,13,0,0,0,
69,2021,Bahamas,BHS,20,8,0,0,0,
70,2016,Bahrain,BHR,270,111,0,0,0,3.55812811897778
71,2017,Bahrain,BHR,255,111,0,0,0,4.29094977756338
72,2018,Bahrain,BHR,262,58,0,0,0,2.13670134684136
73,2019,Bahrain,BHR,251,58,0,0,0,2.14137678356339
74,2020,Bahrain,BHR,256,104,0,0,0,-5.08518021318916
75,2021,Bahrain,BHR,251,107,0,0,0,
76,2016,Bangladesh,BGD,276203,0,0,0,0,7.11347821327269
77,2017,Bangladesh,BGD,932209,115,0,932204,0,7.28417442269364
78,2018,Bangladesh,BGD,906640,39,0,906635,0,7.86375358002958
79,2019,Bangladesh,BGD,854779,34,0,854704,0,8.1526841493979
80,2020,Bangladesh,BGD,866534,18,0,866457,472000,3.5091358821393
81,2021,Bangladesh,BGD,889775,27,0,889704,472000,
82,2018,Barbados,BRB,0,5,0,0,0,-0.580333154218167
83,2019,Barbados,BRB,0,10,0,0,0,-0.0961355529131964
84,2020,Barbados,BRB,0,5,0,0,0,-18.9795097037672
85,2021,Barbados,BRB,0,5,0,0,0,
86,2016,Belarus,BLR,1647,228,0,6182,0,-2.52644643552364
87,2017,Belarus,BLR,2155,273,0,6007,0,2.53218350023035
88,2018,Belarus,BLR,2225,184,0,6025,0,3.14919759374963
89,2019,Belarus,BLR,2725,131,0,6466,0,1.40000000000001
90,2020,Belarus,BLR,2900,143,0,6297,0,-0.900000000246891
91,2021,Belarus,BLR,2924,136,0,6104,0,
92,2016,Belgium,BEL,42158,24098,0,2630,0,1.26668640902095
93,2017,Belgium,BEL,42158,18760,0,7695,0,1.6195802783878
94,2018,Belgium,BEL,42158,19550,0,7695,0,1.81920366405947
95,2019,Belgium,BEL,61662,10862,0,10933,0,2.14955968072559
96,2020,Belgium,BEL,64973,29305,0,1264,940,-5.65965987018394
97,2021,Belgium,BEL,65906,22516,0,1159,854,
98,2016,Belize,BLZ,0,2427,0,0,1709,-0.0332336324360227
99,2017,Belize,BLZ,0,3120,0,0,2774,1.81368203309692
100,2018,Belize,BLZ,29,3305,0,0,2774,2.90606973116134
101,2019,Belize,BLZ,29,2144,0,0,3390,1.76279791284728
102,2020,Belize,BLZ,29,2249,0,0,3390,-14.0105321507761
103,2021,Belize,BLZ,65,2157,0,0,3500,
104,2016,Benin,BEN,804,224,0,0,0,3.33967342629693
105,2017,Benin,BEN,1056,262,0,0,0,5.67155546944753
106,2018,Benin,BEN,1167,308,0,0,0,6.69725946087986
107,2019,Benin,BEN,1238,373,0,0,0,6.86568733550151
108,2020,Benin,BEN,1396,464,0,0,0,3.84879240030133
109,2021,Benin,BEN,1427,501,0,0,0,
110,2016,Bolivia (Plurinational State of),BOL,776,0,0,0,0,
111,2017,Bolivia (Plurinational State of),BOL,802,34,0,0,0,
112,2018,Bolivia (Plurinational State of),BOL,802,34,0,0,0,
113,2019,Bolivia (Plurinational State of),BOL,863,242,0,0,0,
114,2020,Bolivia (Plurinational State of),BOL,1116,157,0,0,0,
115,2021,Bolivia (Plurinational State of),BOL,1116,35,0,0,0,
116,2016,Bosnia and Herzegovina,BIH,5266,51,98324,49,52437,3.14980691561182
117,2017,Bosnia and Herzegovina,BIH,5224,223,98574,65,48907,3.17143487487128
118,2018,Bosnia and Herzegovina,BIH,5227,1003,96830,90,48907,3.74007109201324
119,2019,Bosnia and Herzegovina,BIH,5241,725,96421,75,53728,2.83100260259697
120,2020,Bosnia and Herzegovina,BIH,5232,256,96305,66,7645,-3.19695013403583
121,2021,Bosnia and Herzegovina,BIH,416,177,96305,149,3516,
122,2016,Botswana,BWA,2090,78,0,0,660,7.03689695063241
123,2017,Botswana,BWA,2116,65,0,0,293,4.003449739749
124,2018,Botswana,BWA,2044,268,0,0,6,3.98039539042554
125,2019,Botswana,BWA,1113,150,0,0,6,2.99273763533627
126,2020,Botswana,BWA,617,422,0,0,6,-8.49289351078259
