,Year,Country of asylum,lookup,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern,GDP_annual_change
0,2016,Afghanistan,Afghanistan,AFG,59770,123,1797551,0,114221,2.260314201
1,2017,Afghanistan,Afghanistan,AFG,75927,215,1837079,0,448032,2.647003202
2,2018,Afghanistan,Afghanistan,AFG,72228,281,2106893,0,489854,1.189228128
3,2019,Afghanistan,Afghanistan,AFG,72227,247,2553390,0,447093,3.911603419
4,2020,Afghanistan,Afghanistan,AFG,72278,167,2886317,0,82595,-2.351100673
5,2021,Afghanistan,Afghanistan,AFG,72226,187,3204805,0,84742,
6,2016,Albania,Albania,ALB,141,2750,0,4921,0,3.314980684
7,2017,Albania,Albania,ALB,124,32,0,4460,2719,3.8022274
8,2018,Albania,Albania,ALB,132,159,0,4160,76,4.019359686
9,2019,Albania,Albania,ALB,120,5,0,3687,153,2.113419982
10,2020,Albania,Albania,ALB,105,0,0,1031,10,-3.955397927
11,2021,Albania,Albania,ALB,107,0,0,1528,1083,
12,2016,Algeria,Algeria,DZA,94220,5700,0,0,0,3.2
13,2017,Algeria,Algeria,DZA,94248,6353,0,0,0,1.3
14,2018,Algeria,Algeria,DZA,94341,8910,0,0,0,1.1
15,2019,Algeria,Algeria,DZA,98599,1725,0,0,0,1
16,2020,Algeria,Algeria,DZA,97651,2124,0,0,0,-5.1
17,2021,Algeria,Algeria,DZA,97810,2282,0,0,0,
18,2016,Angola,Angola,AGO,15547,30131,0,0,0,-2.580049644
19,2017,Angola,Angola,AGO,41119,30131,0,0,0,-0.147212941
20,2018,Angola,Angola,AGO,39856,30128,0,0,0,-2.003629727
21,2019,Angola,Angola,AGO,25793,30178,0,0,61,-0.624644318
22,2020,Angola,Angola,AGO,25791,30278,0,0,61,-5.39998739
23,2021,Angola,Angola,AGO,25931,30282,0,0,198,
24,2019,Anguilla,#N/A,AIA,0,0,0,0,0,
25,2020,Anguilla,#N/A,AIA,0,0,0,0,0,
26,2021,Anguilla,#N/A,AIA,0,0,0,0,0,
27,2016,Antigua and Barbuda,Antigua and Barbuda,ATG,5,0,0,0,0,5.496459204
28,2016,Argentina,Argentina,ARG,3267,3917,0,0,181,-2.080327844
29,2017,Argentina,Argentina,ARG,3332,4111,0,0,56969,2.818502978
30,2018,Argentina,Argentina,ARG,3442,6102,0,0,410,-2.617396463
31,2019,Argentina,Argentina,ARG,3857,7992,0,0,443,-2.025934237
32,2020,Argentina,Argentina,ARG,3965,9176,0,0,448,-9.895268964
33,2021,Argentina,Argentina,ARG,4007,10354,0,0,448,
34,2016,Armenia,Armenia,ARM,17883,73,0,512,0,0.2
35,2017,Armenia,Armenia,ARM,17968,62,0,773,0,7.500000002
36,2018,Armenia,Armenia,ARM,17966,105,0,848,0,5.2
37,2019,Armenia,Armenia,ARM,17980,158,0,961,0,7.599999999
38,2020,Armenia,Armenia,ARM,107910,136,0,1000,0,-7.4
39,2021,Armenia,Armenia,ARM,45415,127,0,892,0,
40,2016,Aruba,Aruba,ABW,0,5,0,0,0,0
41,2017,Aruba,Aruba,ABW,0,147,0,0,0,0
42,2018,Aruba,Aruba,ABW,0,407,0,0,0,
43,2019,Aruba,Aruba,ABW,0,406,0,0,0,
44,2020,Aruba,Aruba,ABW,0,0,0,0,13,
45,2021,Aruba,Aruba,ABW,0,0,0,0,29,
46,2016,Australia,Australia,AUS,42187,29633,0,0,0,2.741643069
47,2017,Australia,Australia,AUS,48480,48029,0,52,0,2.295926947
48,2018,Australia,Australia,AUS,56934,60645,0,132,0,2.87097248
49,2019,Australia,Australia,AUS,58529,77363,0,0,0,2.113149425
50,2020,Australia,Australia,AUS,57411,80801,0,5221,46,-0.003836559
51,2021,Australia,Australia,AUS,56229,79819,0,5770,2022,
52,2016,Austria,Austria,AUT,93242,76382,0,937,0,1.989437162
53,2017,Austria,Austria,AUT,115252,56279,0,1003,0,2.258572433
54,2018,Austria,Austria,AUT,128779,37347,0,1062,0,2.501595119
55,2019,Austria,Austria,AUT,135951,29656,0,1132,0,1.49121085
56,2020,Austria,Austria,AUT,141816,20710,0,3267,0,-6.734514076
