,Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Stateless persons,Others of concern
0,2016,Afghanistan,AFG,59770,123,1797551,0,114221
175,2017,Afghanistan,AFG,75927,215,1837079,0,448032
349,2018,Afghanistan,AFG,72228,281,2106893,0,489854
525,2019,Afghanistan,AFG,72227,247,2553390,0,447093
701,2020,Afghanistan,AFG,72278,167,2886317,0,82595
878,2021,Afghanistan,AFG,72226,187,3204805,0,84742
1,2016,Albania,ALB,141,2750,0,4921,0
176,2017,Albania,ALB,124,32,0,4460,2719
350,2018,Albania,ALB,132,159,0,4160,76
526,2019,Albania,ALB,120,5,0,3687,153
702,2020,Albania,ALB,105,0,0,1031,10
879,2021,Albania,ALB,107,0,0,1528,1083
2,2016,Algeria,DZA,94220,5700,0,0,0
177,2017,Algeria,DZA,94248,6353,0,0,0
351,2018,Algeria,DZA,94341,8910,0,0,0
527,2019,Algeria,DZA,98599,1725,0,0,0
703,2020,Algeria,DZA,97651,2124,0,0,0
880,2021,Algeria,DZA,97810,2282,0,0,0
3,2016,Angola,AGO,15547,30131,0,0,0
178,2017,Angola,AGO,41119,30131,0,0,0
352,2018,Angola,AGO,39856,30128,0,0,0
528,2019,Angola,AGO,25793,30178,0,0,61
704,2020,Angola,AGO,25791,30278,0,0,61
881,2021,Angola,AGO,25931,30282,0,0,198
529,2019,Anguilla,AIA,0,0,0,0,0
705,2020,Anguilla,AIA,0,0,0,0,0
882,2021,Anguilla,AIA,0,0,0,0,0
4,2016,Antigua and Barbuda,ATG,5,0,0,0,0
5,2016,Argentina,ARG,3267,3917,0,0,181
179,2017,Argentina,ARG,3332,4111,0,0,56969
353,2018,Argentina,ARG,3442,6102,0,0,410
530,2019,Argentina,ARG,3857,7992,0,0,443
706,2020,Argentina,ARG,3965,9176,0,0,448
883,2021,Argentina,ARG,4007,10354,0,0,448
6,2016,Armenia,ARM,17883,73,0,512,0
180,2017,Armenia,ARM,17968,62,0,773,0
354,2018,Armenia,ARM,17966,105,0,848,0
531,2019,Armenia,ARM,17980,158,0,961,0
707,2020,Armenia,ARM,107910,136,0,1000,0
884,2021,Armenia,ARM,45415,127,0,892,0
7,2016,Aruba,ABW,0,5,0,0,0
181,2017,Aruba,ABW,0,147,0,0,0
355,2018,Aruba,ABW,0,407,0,0,0
532,2019,Aruba,ABW,0,406,0,0,0
708,2020,Aruba,ABW,0,0,0,0,13
885,2021,Aruba,ABW,0,0,0,0,29
8,2016,Australia,AUS,42187,29633,0,0,0
182,2017,Australia,AUS,48480,48029,0,52,0
356,2018,Australia,AUS,56934,60645,0,132,0
533,2019,Australia,AUS,58529,77363,0,0,0
709,2020,Australia,AUS,57411,80801,0,5221,46
886,2021,Australia,AUS,56229,79819,0,5770,2022
9,2016,Austria,AUT,93242,76382,0,937,0
183,2017,Austria,AUT,115252,56279,0,1003,0
357,2018,Austria,AUT,128779,37347,0,1062,0
534,2019,Austria,AUT,135951,29656,0,1132,0
710,2020,Austria,AUT,141816,20710,0,3267,0
887,2021,Austria,AUT,146025,18308,0,3229,0
